id,type,title,director,cast,country,date_added,release_year,rating,duration,genre,plataforma,duration_int,duration_type,score
as2867,movie,chicken people,nicole lucas haimes,"brian caraker, brian knox, shari mccollough",united states,Sin dato,2016,13+,83 min,documentary,amazon,83,min,3.607505070993915
as2868,movie,chick fight,paul leyden,"malin akerman, bella thorne, alec baldwin, dulcé sloan, kevin connolly, fortune feimster, kevin nash",Sin dato,Sin dato,2020,R,97 min,comedy,amazon,97,min,3.560450819672131
as2869,movie,chiara ferragni: unposted [english subbed],elisa amoruso,chiara ferragni,italy,Sin dato,2019,16+,88 min,documentary,amazon,88,min,3.570408163265306
as2870,movie,chiara ferragni: unposted (4k uhd) - [english dubbed],elisa amoruso,chiara ferragni,Sin dato,Sin dato,2019,G,89 min,documentary,amazon,89,min,
as2872,movie,chi-town,nick budabin,keifer sykes,Sin dato,Sin dato,2019,13+,80 min,documentary,amazon,80,min,3.579861111111111
as2873,movie,chhalaang,hansal mehta,"rajkummar rao, nushrratt bharuchaa",india,Sin dato,2020,13+,136 min,comedy,amazon,136,min,3.5126582278481013
as2874,movie,cheers of the crowd,vin moore,"russell hopton, irene ware, harry holman, bradley page, john quillan, wade boteler, betty blythe",Sin dato,Sin dato,1935,13+,62 min,comedy,amazon,62,min,3.5473118279569893
as2875,movie,chee & t,tanuj chopra,"dominic rains, sunkrish bala, asif ali",Sin dato,Sin dato,2018,18+,79 min,action,amazon,79,min,3.590217391304348
as2876,movie,cheaper 2 keep her,marvin hayes,"courtney mcgriff, kenyon glover, jasmine leyva, kristen hurt, barry brewer",Sin dato,Sin dato,2021,18+,103 min,comedy,amazon,103,min,3.4466666666666668
as2877,movie,chavela,"catherine gund, daresha kyi","chavela vargas, pedro almodóvar, elena benarroch, miguel bosé",Sin dato,Sin dato,2017,18+,93 min,documentary,amazon,93,min,3.572874493927125
as2880,movie,chasing happiness,john lloyd taylor,"nick jonas, joe jonas, kevin jonas",Sin dato,Sin dato,2019,16+,97 min,documentary,amazon,97,min,3.5417515274949083
as2881,movie,chasers,dennis hopper,"tom berenger, william mcnamara, erika eleniak, crispin glover",Sin dato,Sin dato,1994,R,101 min,action,amazon,101,min,3.5804597701149423
as2882,movie,charm city,marilyn ness,"clayton ""mr. c"" guyton, alex long, major monique brown, officer eric winston, officer john gregorio, councilman brandon scott",Sin dato,Sin dato,2019,G,107 min,documentary,amazon,107,min,3.6404255319148935
as2885,movie,change in the air,dianne dreyer,"rachel brosnahan, olympia dukakis, mary beth hurt, macy gray, aidan quinn, m. emmet walsh",Sin dato,Sin dato,2018,PG,94 min,drama,amazon,94,min,
as2886,movie,champ against champ,godfrey ho,dragon lee,Sin dato,Sin dato,2007,R,88 min,action,amazon,88,min,3.530368763557484
as2887,movie,chairlift,Sin dato,Sin dato,Sin dato,Sin dato,2008,NR,30 min,music videos and concerts,amazon,30,min,
as2888,movie,chad daniels: as is,ryan brennan,chad daniels,Sin dato,Sin dato,2012,G,52 min,arts,amazon,52,min,3.4989690721649485
as2899,movie,catch-22,mike nichols,"alan arkin, art garfunkel, bob newhart, anthony perkins, martin sheen, jon voight",Sin dato,Sin dato,1970,R,122 min,action,amazon,122,min,
as2900,movie,catch hell,ryan phillippe,"ryan phillippe, ian barford, stephen louis grush",united states,Sin dato,2014,18+,97 min,action,amazon,97,min,3.547560975609756
as2902,movie,casey's shadow,martin ritt,"walter matthau, alexis smith, robert webber, murray hamilton, andrew rubin, steve burns, michael hershewe, whit bissell",Sin dato,Sin dato,1978,13+,116 min,action,amazon,116,min,3.5229166666666667
as2903,movie,caryl of the mountains,bernard b. ray,"rin-tin-tin jr., ralph bushman, lois wilde, josef swickard, earl dwire",Sin dato,Sin dato,1936,ALL,59 min,drama,amazon,59,min,3.522222222222222
as2904,movie,cartoon classics - vol. 2: 25 favorite cartoons - 3 hours,max fleischer,"bugs bunny, daffy duck, elmer fudd, porky pig, casper the friendly ghost, popeye the sailor man, betty boop, little audrey, little lulu, felix the cat, superman",Sin dato,Sin dato,2017,13+,183 min,animation,amazon,183,min,
as2905,movie,carriers,"alex pastor, david pastor","lou taylor pucci, chris pine, piper perabo, christopher meloni, emily van camp",Sin dato,Sin dato,2009,PG-13,85 min,drama,amazon,85,min,3.592672413793104
as2907,movie,carolina skeletons,john erman,"louis gossett jr., bruce dern, melissa leo, bill cobbs, richard jenkins, paul roebling, henderson forsythe, clifton james, kenn michael, g.d. spradlin",Sin dato,Sin dato,1991,R,90 min,action,amazon,90,min,3.5775510204081638
as2908,movie,carolina low,nick searcy,"sean bridgers, christopher berry, nick searcy, sonny shroyer",Sin dato,Sin dato,2020,16+,83 min,action,amazon,83,min,3.5130260521042085
as2916,movie,captured in chinatown,elmer clifton,"marion shilling, charles delaney, philo mccullough, robert ellis, robert walker, tarzan the wonder dog",Sin dato,Sin dato,1935,13+,53 min,action,amazon,53,min,3.557
as2917,movie,captain scarlett,thomas carr,"richard greene, leonora amar, isabel del puerto, nedrick young, manuel fabregas",Sin dato,Sin dato,1953,13+,78 min,adventure,amazon,78,min,3.490088105726872
as2918,movie,captain sabertooth,"lisa marie gamlem, john andreas andersen","tuva novotny, jon øigarden, nils jørgen kaalstad, pia tjelta",Sin dato,Sin dato,2014,13+,96 min,action,amazon,96,min,3.56827731092437
as2919,movie,captain calamity,john reinhardt,"marian nixon, george houston, vince barnett, juan torena, movita, crane wilbur, george j. lewis, roy d'arcy, margaret irving, barry norton, louis natheaux, lloyd ingraham, alberto gandero, harold howard, charles moyer, gordon jones, maria kalamo",Sin dato,Sin dato,1936,PG,74 min,action,amazon,74,min,3.475635593220339
as2920,movie,cannabis to save my life,diana c. frank,Sin dato,Sin dato,Sin dato,2015,G,53 min,documentary,amazon,53,min,3.5693832599118944
as2921,movie,candy,nahala johnson,"sheneka adams, gina caliste, kendrick smith, jessica kylie, anthony johnson, bun b, scarface",Sin dato,Sin dato,2017,18+,76 min,action,amazon,76,min,
as2923,movie,can't stand losing you: surviving the police,"andy grieve, lauren lazin","andy summers, sting, stewart copeland",Sin dato,Sin dato,2015,13+,83 min,special interest,amazon,83,min,3.5352272727272727
as2925,movie,camp cool kids,lisa arld,"connor rosen, leigh-allyn baker",Sin dato,Sin dato,2017,G,104 min,kids,amazon,104,min,3.468390804597701
as2926,movie,cameron esposito: marriage material,bobcat goldthwait,cameron esposito,Sin dato,Sin dato,2016,18+,71 min,arts,amazon,71,min,3.5080645161290325
as2927,movie,camelot,diane paloma eskenazi,Sin dato,Sin dato,Sin dato,2016,ALL,52 min,animation,amazon,52,min,3.5602536997885834
as2930,movie,call her ganda,pj raval,"naomi fontanos, meredith talusan, virginia lacsa suarez, julita laude",Sin dato,Sin dato,2018,16+,97 min,documentary,amazon,97,min,3.531049250535332
as2934,movie,cafe society,woody allen,"jeannie berlin, steve carell, jesse eisenberg, blake lively, parker posey, kristen stewart, corey stoll, ken stott",Sin dato,Sin dato,2016,PG-13,96 min,comedy,amazon,96,min,3.459429824561404
as2935,movie,cabin 28,andrew jones,"lee bane, terri dwyer, brendee green, sean rhys-james",Sin dato,Sin dato,2017,16+,84 min,horror,amazon,84,min,3.604210526315789
as2936,movie,c.h.u.d.,douglas cheek,"daniel stern, kim greist",Sin dato,Sin dato,1984,R,97 min,fantasy,amazon,97,min,3.5309168443496803
as2937,movie,c.c. & company,seymour robbie,"joe namath, ann-margret, william smith, jennifer billingsley, mike battle, greg mullavy, teda bracci, don chastain, sid haig, bruce glover, kiva kelly, jacquie rohr, robert keyworth, alan pappe, ned wertimer, bill baldwin, shirley eder, john wasserman, bonnie emerson, paula warner, wayne cochran, tedd king, gary littlejohn, frank noel, wayne cochran and the c.c. ryders, duncan inches",Sin dato,Sin dato,1970,R,95 min,action,amazon,95,min,3.5257009345794392
as2938,movie,c u soon (4k uhd),mahesh narayan,"fahadh faasil, darshana rajendran, roshan mathew, saiju kurup, mala parvathy",india,Sin dato,2020,16+,98 min,drama,amazon,98,min,3.4853228962818004
